Nom de l'offre touristique;Type de l'offre;Adresse1;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Nom de la commune;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Type de plateforme/url;Url pour accéder à la vidéo;Code Embed pour intégrer une video;Widget tripadvisor;Catégorie de la fête ou manifestation;Equipements;Animal accepté: oui / non;Complément information animal accepté;Label tourisme handicap;SPaccessibilite;Confort pour les hébergements collectifs;Labels;Classement dans un label;Présence l'offre sur les grands itinéraires vélo;Langues parlées à l'accueil;Services proposés sur place;Groupe accepté: oui / non;Nombre personnes max par dortoir;Nombre chambres;Nombre total d'hébergements / logements;Nombre lits;Nombre personnes;Ouverture 24h / 24h: oui / non;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Nom du contact/Tel contact/mail contact;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarif(s);Modes de paiement acceptés;CapaciteNbChambresFamiliales;CapaciteNbChambresMobReduite;CapaciteNbEmplacements;CapaciteNbEmplacementsCampingCar;CapaciteNbEmplacementsLocatifs;CapaciteNbEmplacementsNus;CapaciteNbEmplacementsResidentiels;CapaciteNbEmplacementsSaison;CapaciteNbSalleReunion;CapaciteSurface;SyndicObjectID;localisation;departement
AppartHôtel Les Lys d'Or;;;;43 rue du Portail Louis;;49400;SAUMUR;;49328;47.258118;-0.078751;;;07 44 92 74 64;;;https://www.leslysdor.com;;;;;;Espace bien-être,Local vélo,WiFi;oui;;;;Parking;;;;Anglais,Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage / ménage;;7;12;;;24;;;01/01/2025||31/12/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;oui;||https://giteslesorchidees.com/||||||;;Cartes bancaires,Chèques Vacances,Espèces,Virement;;;;;;;;;;;HCOLLPDL049V50FLDH;47.258118, -0.078751;Maine-et-Loire
Auberge - Ethic Etapes du Lac de Maine;Centre d'accueil et/ou de vacances;;;49 avenue du Lac de Maine;;49000;ANGERS;;49007;47.46584;-0.589636;;;02 41 22 32 10;;;http://www.ethic-etapes-angers.fr;Facebook||https://www.facebook.com/EthicEtapesAngers,Instagram||https://www.instagram.com/ethicetapesangers/;;;;;WiFi;;;;non;Parking;Accueil Vélo,Écolabel Européen,Group'A Vélo,La Loire à vélo,Rando Accueil,UNAT;;EV6-La Loire à Vélo,La Vallée du Loir à vélo,Vélo Francette - Loire à Vélo;Anglais,Français;Location/prêt de vélo,Prestation de restauration;;;59;;154;154;;;02/01/2024||24/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,02/01/2025||24/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;;;;;;;;;;;HCOLLQETHICETAP;47.46584, -0.589636;Maine-et-Loire
Centre International de Séjour – Accueil groupes;Centre d'accueil et/ou de vacances;;;Boulevard de Verden;;49400;SAUMUR;;49328;47.261744;-0.067273;;;02 41 40 30 00;;;;Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g187199-d6654267-Reviews-Centre_International_de_Sejour-Saumur_Maine_et_Loire_Pays_de_la_Loire.html;;;;;Local vélo,WiFi;non;;;non;Cuisine professionnelle,Parking;;;;Anglais,Français;Fourniture de draps (gratuit),Location de linge,Prestation de restauration;;;12;;108;108;;;01/09/2025||02/11/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,13/03/2026||01/11/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Nuitée / pers||30,00||37,00||par personne, petit-déjeuner inclus;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Chèques Vacances Connect,Espèces,Virement;;;;;;;;;;;HCOLLQZSHCCIS;47.261744, -0.067273;Maine-et-Loire
DOMAINE DE LA PINELAIS;;;;La Pinelais;;44320;SAINT-PERE-EN-RETZ;;44187;47.25414;-2.05291;;06 13 83 88 50;02 28 53 01 45;;;http://www.domaine-pinelais.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HCOLLHCOLLRDOMAIPIN;47.25414, -2.05291;Loire-Atlantique
Gîtes de la Tiboire;Gîte de groupe;;;Lieu-dit La Moyenne Tiboire;Torfou;49660;SEVREMOINE;;49301;47.0526514;-1.1039404;;06 33 51 07 54;;;;;;;;;;WiFi;non;;;non;Parking,Salle de réception,Terrain clos;Gîtes de France;3 épis;;;Location de draps;;;7;2;9;14;;oui;;;oui;Gîtes de France||https://www.gites-de-france-anjou.com/fr/location/locations-gites-sevremoine-tiboire-1-h49g021251||||||;Forfait semaine / pers||1120,00||1900,00||Tarif global,Forfait week-end / pers||880,00||1500,00||Tarif global;Cartes bancaires,Chèques bancaires et postaux,Espèces;;;;;;;;;;;HCOLLPDL049V50FMXK;47.0526514, -1.1039404;Maine-et-Loire
GÎTE DE LA VALLÉE;Maison familiale;;;Lieu-dit la Vallée;;53440;ARON;;53008;48.311607;-0.563514;;06 17 58 43 88;;;;;;;;;;WiFi;;;;non;Parking;;;;;Location de draps,Location de linge;;;2;1;6;12;;oui;;;;;Forfait location privative de l'hébergement||||||Tarif Week-End. Tarif semaine à partir de 660€;;;;;;;;;;;;HCOLLPDL053V509OQR;48.311607, -0.563514;Mayenne
Terres de France - Domaine du Golf;;;;Terres de France;Saint-Hilaire-Saint-Florent;49400;SAUMUR;;49328;47.276093;-0.129623;;;05 55 84 34 48;;;https://www.domaine-golf-saumur.com;Facebook||https://www.facebook.com/terres.de.france.resort,Google+||https://g.page/r/CWtQXnwo80vCEBA,Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g187199-d1755689-Reviews-Belambra_Clubs_Le_Domaine_du_Golf-Saumur_Maine_et_Loire_Pays_de_la_Loire.html,Instagram||https://www.instagram.com/terres.de.france/;;;;3 étoiles;Défibrillateur,Piscine,Piscine couverte,WiFi;oui;Supplément en juillet et août.;;non;Parking;;;;Anglais,Français;Location de draps,Location de linge,Option nettoyage / ménage;;250;;104;;99;;;01/01/2025||31/12/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Nuitée / pers||45,00||159,00||Veuillez faire une simulation pour obtenir un tarif actualisé.;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;;;;;;;;;;;HCOLLPDL049V50FF0F;47.276093, -0.129623;Maine-et-Loire
GITE DE GROUPE LA BARBOIRE;Gîte de groupe;la barboire;;;;53640;CHAMPEON;;53051;48.356955;-0.4871809;;06 23 08 09 48;;;;www.gite-la-barboire.fr;;;;;Non classé;;;;;non;Cuisine professionnelle,Salle de réception,Terrain clos;;;;;Location de draps,Option nettoyage / ménage;;;9;1;;27;;oui;;Mme Thomas||||mclaude.thomas@orange.fr;;;;Chèques bancaires et postaux;;;;;;;;;;;HCOLLPDL053V500LSX;48.356955, -0.4871809;Mayenne
Gîte Le Maémy;Gîte de groupe;;;;;44370;LOIREAUXENCE;;44213;47.40173;-1.03567;;07 50 87 98 52;;;;https://freddyguilloteau26.wixsite.com/gite-le-maemy;;;;;3 étoiles;Piscine couverte,WiFi;non;;;non;Parking,Terrain clos;;;;Français;Location de draps;oui;;5;1;8;15;;oui;;||07 50 87 98 52||freddy.guilloteau269@orange.fr;;;Forfait week-end / pers||||||Week-end avec jour férié;;;;;;;;;;;;HCOLLPDL044V51FHC9;47.40173, -1.03567;Loire-Atlantique
Institut Bois Robert - Location Hébergement groupe et locaux pour événements;Gîte de groupe;;;;Le Bois Robert;49370;BECON-LES-GRANITS;;49026;47.50684;-0.81112;;06 98 88 41 54;;;;;;;;;Non classé;Défibrillateur,Tennis,WiFi;non;;;non;Cuisine professionnelle,Parking,Plain pied,Salle de réception,Terrain clos;;;;Anglais,Chinois,Espagnol,Français,Russe;Location de draps,Option nettoyage / ménage,Prestation de restauration;oui;30;;4;90;120;oui;oui;01/01/2023||01/01/2026||Sur réservation uniquement sur les périodes de vacances scolaires et weekends||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Le Bois Robert||06 98 88 41 54||jcvoynet@hotmail.com;;;Forfait location privative de l'hébergement||1500,00||||;Cartes bancaires,Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL049V50GEVT;47.50684, -0.81112;Maine-et-Loire
