Nom de l'offre touristique;SyndicObjectID;Type de l'offre;Catégorie de l'offre;Adresse1;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Nom de la commune;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Présence sur plateforme(s) communautaire(s);Code Embed pour intégrer une video;widget pour zoover;Widget tripadvisor;Animal accepté: oui / non;Complément information animal accepté;Label tourisme handicap;SPaccessibilite;Présence l'offre sur les grands itinéraires vélo;Equipements;Types d'équipements locatifs sur le camping;Services proposés sur place;Naturisme;Nombre emplacements pour les campings;Nombre emplacements pour les campings car;Nombre emplacements équipés avec locatif pour les campings;Nombre emplacements nus pour les campings;Nombre emplacements résidentiels pour les campings;Nombre emplacements saisonniers pour les campings;Surface en hectares;Groupe accepté: oui / non;Labels;Chaînes;Classements préfectoral;Langues parlées à l'accueil;Ouverture 24h / 24h: oui / non;Ouvert toute l'année: oui / non;Période/horaires par jour/précisions ouverture/précision fermeture;Nom du contact/Tel contact/mail contact;Nom centrale de réservation en ligne;Moyen(s) de réservation en ligne;Tarifs;Modes de paiement acceptés;localisation;departement
Camping de la Morinière;HPAEPSPMORINIERE;Camp de tourisme;1 étoile;;;17 rue de la Morinière;;44710;PORT-SAINT-PERE;44133;47.13424;-1.74429;;06 48 72 30 87;02 40 31 50 13;;;http://www.port-saint-pere.fr;;;;;;oui;;;non;;;;;;;;;40;;;;;;;;;;;01/06/2025||30/09/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques Vacances,Espèces;47.13424, -1.74429;Loire-Atlantique
Camping La Chênaie;HPAECHENAIE;Camp de tourisme;4 étoiles;;;36 rue du Patisseau;;44210;PORNIC;44131;47.11881;-2.06979;;;02 40 82 07 31;02 40 27 95 67;;http://www.campinglachenaie.com;;;;;;oui;Animaux acceptés avec supplément;;non;;Espace aqua-ludique,Espace Bien-être,Piscine,Piscine couverte,Salle de sport,WiFi;Mobil-Home,Tente;Commerce alimentaire,Snack/Restaurant;;551;;426;38;90;;12;;;;;Allemand,Anglais;;;05/04/2025||13/09/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Taxe de séjour / nuit / pers||0,66||0,66||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.11881, -2.06979;Loire-Atlantique
Camping - Les Ollivaud;HPAELESOLLIVAUD;Camp de tourisme;Non Classé;;;La Ville Ollivaud;D127;44500;LA BAULE-ESCOUBLAC;44055;47.30081;-2.3315;;;02 40 24 58 25;02 40 24 55 89;;http://www.lesollivaud.com;;;;;;oui;;;non;;;Caravanes,Mobil-Home;;;409;100;309;;;;;;;;;Anglais;;;;;;;;Chèques bancaires et postaux,Chèques Vacances,Virement;47.30081, -2.3315;Loire-Atlantique
Camping Les Bleuets;HPAEEBLEUETS;Camp de tourisme;2 étoiles;;;"Lieu-dit ""Les Bleuets""";Sainte Marie sur Mer;44210;PORNIC;44131;47.14034;-2.1306;;06 81 64 76 17;02 40 82 11 07;;;http://www.campinglesbleuets.com;;;;;;oui;Tenus en laisse, carnet de vaccinations à jour et tatoués - gratuit;;non;;Piscine,WiFi;Caravanes,Mobil-Home;Commerce alimentaire,Snack/Restaurant;;213;10;15;134;72;;3,5;;;;;Anglais;;;01/04/2025||30/09/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.14034, -2.1306;Loire-Atlantique
Siblu Village Le Bois de Bayadène;HPAHPAELEBOISDEBAYADENE;Camp de tourisme;4 étoiles;;;Route de Kerdrien;;44420;PIRIAC-SUR-MER;44125;47.3859;-2.51036;;;02 55 18 18 20;;;https://siblu.fr/camping/france/cote-atlantique-nord/pays-de-la-loire/bois-de-bayadene?arrival=2025-07-05&departure=2025-07-12&type=rental&adults=2;;;;;;oui;;;non;;Espace aqua-ludique,Piscine,Piscine couverte;Mobil-Home;;;210;;210;;;;;;;;;Anglais;;;05/04/2025||01/11/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.3859, -2.51036;Loire-Atlantique
Les Trois Chênes **;HPAETROISCHENES;Camp de tourisme;2 étoiles;;;Route de la Villès Hérioux;Cleux;44380;PORNICHET;44132;47.27756;-2.3036;;06 02 01 33 73;02 40 61 13 36;;;http://www.camping-lestroischenes.com;;;;;;oui;Infos complémentaires :;;non;;Espace aqua-ludique,Tennis;Mobil-Home;;;123;;17;35;;;4;;;;;Anglais;;;01/04/2024||31/10/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Forfait de base (1emplacement, 2 personnes, 1 voiture) / nuit||16,00||24,00||,Locatif / semaine||250,00||810,00||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.27756, -2.3036;Loire-Atlantique
Domaine Mon Calme;HPAEMONCALME;Camp de tourisme;3 étoiles;;;Rue de Norvoret;;44420;PIRIAC-SUR-MER;44125;47.37224;-2.54933;;;02 40 23 60 77;;;https://domaine.moncalme-piriac.com;;;;;;oui;;;non;;WiFi;Mobil-Home,Tente;;;86;14;;;;;;;;;;Anglais;;;04/04/2025||12/10/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Locatif / semaine||301,00||912,50||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.37224, -2.54933;Loire-Atlantique
Le Port Chéri;HPAEPORTCHERI;Camp de tourisme;3 étoiles;;;Rue du Petit Bois;Le Port Chéri;44210;PORNIC;44131;47.11922;-2.0762;;;02 40 82 34 57;02 40 82 96 77;;http://www.camping-leportcheri.com;;;;;;oui;;;non;EV1-La Vélodyssée;Piscine,Salle de sport,WiFi;Mobil-Home;Location/prêt de vélo,Snack/Restaurant;;134;13;16;67;50;;3,2;;Camping Qualité,Qualité Tourisme;;;Anglais;;;01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.11922, -2.0762;Loire-Atlantique
CAMPING DE LA FORET **;HPAPDL044000061;Camp de tourisme;2 étoiles;;;3 rue de l'Etang;;44130;LE GAVRE;44062;47.5198881;-1.7505215;;06 79 03 22 37;02 40 51 20 62;;;http://campinglegavre.fr;;Facebook||https://www.facebook.com/pages/category/Campground/Camping-de-la-foret-du-Gavre-595875250549183/;;;;oui;;;non;;Prise électrique,Tennis,WiFi;Caravanes,Chalet;;non;73;10;5;75;;;3,9;oui;Hébergement Pêche;;;Anglais,Français;non;non;;DUBREUIL ||02 40 51 20 62||campinglegavre@gmail.com;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.5198881, -1.7505215;Loire-Atlantique
Camping municipal Le Bellion;HPAPDL044000025;Camp de tourisme;Non Classé;Les Bellions;;;;44460;FEGREAC;44057;47.5988119;-2.0863197;;06 85 57 51 97;02 40 91 20 21;;;www.fegreac.fr;;;;;;non;;;non;;Prise électrique;;;non;15;;;15;;;;oui;;;;Anglais,Français;non;non;;;;;Forfait de base (1emplacement, 2 personnes, 1 voiture) / nuit||||||;Chèques bancaires et postaux,Chèques Vacances,Espèces;47.5988119, -2.0863197;Loire-Atlantique
