dataset;categorie_dataset;categorie_neutre;alias
paysdelaloire.csv;Fêtes populaires;Festivals and Celebrations;festivals
paysdelaloire.csv;Danse (spectacle);Arts and Entertainment;arts
paysdelaloire.csv;Cirque;Arts and Entertainment;arts
paysdelaloire.csv;Randonnée;Sports and Leisure;sports
paysdelaloire.csv;Théâtre;Culture and Heritage;culture
paysdelaloire.csv;Contes et lectures;Culture and Heritage;culture
paysdelaloire.csv;Stages-Atelier-Jeux;Arts and Entertainment;arts
paysdelaloire.csv;Rallye;Rallies and Demonstrations;rallies
paysdelaloire.csv;Sortie nature / environnement;Nature and Environment;nature
paysdelaloire.csv;Conférence;Arts and Entertainment;arts
paysdelaloire.csv;Concert;Concerts and Performances;concerts
paysdelaloire.csv;Brocantes & vide-greniers;Culture and Heritage;culture
paysdelaloire.csv;Exposition;Exhibitions and Displays;exhibits
paysdelaloire.csv;Festival;Festivals and Celebrations;festivals
paysdelaloire.csv;Cinéma;Arts and Entertainment;arts
paysdelaloire.csv;Manifestation Nationale;Rallies and Demonstrations;rallies
paysdelaloire.csv;Animations de Noël;Festivals and Celebrations;festivals
paysdelaloire.csv;Manifestation sportive;Sports and Leisure;sports
paysdelaloire.csv;Marché;Community and Social Events;community
paysdelaloire.csv;Foire ou salon;Exhibitions and Displays;exhibits
paysdelaloire.csv;Feux d'artifice;Festivals and Celebrations;festivals
paysdelaloire.csv;Opéra;Culture and Heritage;culture
paysdelaloire.csv;Spectacle;Arts and Entertainment;arts
paysdelaloire.csv;Visites et sorties à thèmes;Arts and Entertainment;arts
bretagne-fetes-et-manifestations.csv;Danse#Musique;Arts and Entertainment;arts
bretagne-fetes-et-manifestations.csv;Nature et détente#Sports et loisirs;Nature and Environment;nature
bretagne-fetes-et-manifestations.csv;Insolite;Miscellaneous Events;misc
bretagne-fetes-et-manifestations.csv;Culturelle#Traditions et folklore, fêtes;Festivals and Celebrations;festivals
bretagne-fetes-et-manifestations.csv;Religieuse;Religious Events;religion
bretagne-fetes-et-manifestations.csv;Traditions et folklore, fêtes;Festivals and Celebrations;festivals
bretagne-fetes-et-manifestations.csv;Sports et loisirs;Sports and Leisure;sports
bretagne-fetes-et-manifestations.csv;Manifestation commerciale#Traditions et folklore, fêtes;Festivals and Celebrations;festivals
bretagne-fetes-et-manifestations.csv;Culturelle#Musique;Culture and Heritage;culture
bretagne-fetes-et-manifestations.csv;Culturelle#Nature et détente;Nature and Environment;nature
bretagne-fetes-et-manifestations.csv;Culturelle#Religieuse;Culture and Heritage;culture
bretagne-fetes-et-manifestations.csv;Autres Evènements#Manifestation commerciale;Community and Social Events;community
bretagne-fetes-et-manifestations.csv;Culturelle#Musique#Traditions et folklore, fêtes;Festivals and Celebrations;festivals
bretagne-fetes-et-manifestations.csv;Religieuse#Traditions et folklore, fêtes;Festivals and Celebrations;festivals
bretagne-fetes-et-manifestations.csv;Son et Lumière#Traditions et folklore, fêtes;Festivals and Celebrations;festivals
bretagne-fetes-et-manifestations.csv;Animation locale (Kermesse / Loto...)#Culturelle#Insolite;Culture and Heritage;culture
bretagne-fetes-et-manifestations.csv;Animation locale (Kermesse / Loto...)#Manifestation commerciale#Sports et loisirs;Sports and Leisure;sports
bretagne-fetes-et-manifestations.csv;Culturelle#Son et Lumière;Culture and Heritage;culture
bretagne-fetes-et-manifestations.csv;Autres Evènements#Musique;Concerts and Performances;concerts
bretagne-fetes-et-manifestations.csv;Autres Evènements#Sports et loisirs;Sports and Leisure;sports
bretagne-fetes-et-manifestations.csv;Danse;Arts and Entertainment;arts
bretagne-fetes-et-manifestations.csv;Son et Lumière;Arts and Entertainment;arts
